Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status
1,Devansh,Vohra,Male,38,Indian,Netaji Subhas Chandra Bose International Airport,IN,India,Asia,Asia,2025-10-13,Charles de Gaulle Airport,Abram Manne,Delayed
2,Tara,Bhalla,Female,70,Indian,Pune International Airport,IN,India,Asia,Asia,2025-11-14,Singapore Changi Airport,Purab Balasubramanian,Delayed
3,Armaan,Sama,Female,69,Indian,Indira Gandhi International Airport,IN,India,Asia,Asia,2025-11-27,Charles de Gaulle Airport,Pranay Tella,Cancelled
4,Divij,Date,Male,26,Indian,Cochin International Airport,IN,India,Asia,Asia,2025-10-12,Heathrow Airport,Umang Kibe,Delayed
5,Shayak,Ganesan,Female,18,Indian,Kempegowda International Airport,IN,India,Asia,Asia,2025-10-29,Doha Hamad International Airport,Ivana Kar,Delayed
6,Nishith,Bora,Male,63,Indian,Goa International Airport,IN,India,Asia,Asia,2025-10-12,Suvarnabhumi Airport,Oorja Kunda,Cancelled
7,Vidur,Dutt,Male,35,Indian,Pune International Airport,IN,India,Asia,Asia,2025-10-21,Kuala Lumpur International Airport,Hridaan Karan,On Time
8,Eshani,Gara,Male,70,Indian,Chhatrapati Shivaji International Airport,IN,India,Asia,Asia,2025-10-18,Doha Hamad International Airport,Prisha Sidhu,Cancelled
9,Sahil,Mani,Female,31,Indian,Chhatrapati Shivaji International Airport,IN,India,Asia,Asia,2025-11-05,Malé Velana International Airport,Tushar Yadav,Cancelled
10,Jivin,Krishnan,Female,40,Indian,Indira Gandhi International Airport,IN,India,Asia,Asia,2025-09-30,Malé Velana International Airport,Raghav Grover,On Time
11,Miraya,Dave,Male,48,Indian,Pune International Airport,IN,India,Asia,Asia,2025-10-13,Doha Hamad International Airport,Rania Kala,Cancelled
12,Nakul,Contractor,Female,48,Indian,Pune International Airport,IN,India,Asia,Asia,2025-10-26,Muscat International Airport,Tushar Lad,On Time
13,Vaibhav,Rege,Female,22,Indian,Netaji Subhas Chandra Bose International Airport,IN,India,Asia,Asia,2025-11-14,Singapore Changi Airport,Amira Dutt,Cancelled
